CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Churn,Occupation,WebsiteVisitFrequency
1,62,Female,San Antonio,Silver,96,3821.73,Home Goods,2023-11-19,0,Retired,96
2,65,Male,San Diego,Gold,86,2515.32,Clothing,2023-05-15,0,Retired,86
3,18,Male,Los Angeles,Silver,53,1103.9,Home Goods,2023-05-08,0,Student,53
4,21,Female,Los Angeles,Gold,8,4069.02,Books,2023-06-27,0,Student,8
5,21,Female,Phoenix,Bronze,37,2882.32,Books,2023-09-05,1,Student,37
6,57,Male,San Antonio,Platinum,81,783.58,Sports,2023-07-20,0,Part-Time Employed,81
7,27,Male,San Jose,Silver,71,4043.98,Electronics,2023-08-13,1,Full-Time Employed,71
8,37,Female,San Diego,Gold,21,4797.07,Electronics,2023-08-13,0,Full-Time Employed,21
9,39,Female,Dallas,Bronze,39,1796.2,Books,2023-04-27,0,Part-Time Employed,39
10,68,Female,New York,Bronze,5,1538.21,Home Goods,2023-11-26,1,Retired,5
11,54,Male,Phoenix,Gold,17,500.7,Clothing,2023-05-23,1,Part-Time Employed,17
12,41,Female,Chicago,Platinum,99,3356.01,Electronics,2023-03-21,0,Full-Time Employed,100
13,24,Female,San Jose,Gold,57,4798.91,Electronics,2023-01-23,0,Full-Time Employed,57
14,42,Female,Houston,Gold,15,766.36,Home Goods,2023-09-12,1,Part-Time Employed,15
15,42,Female,Phoenix,Gold,16,2477.28,Books,2023-12-04,0,Part-Time Employed,16
16,30,Male,Los Angeles,Platinum,89,581.37,Sports,2023-08-06,0,Part-Time Employed,89
17,19,Male,Philadelphia,Silver,15,267.14,Home Goods,2023-09-04,1,Student,15
18,56,Female,San Diego,Gold,11,3356.06,Books,2023-12-27,0,Full-Time Employed,11
19,57,Male,New York,Bronze,5,4351.67,Clothing,2023-10-06,0,Full-Time Employed,5
20,41,Female,Los Angeles,Silver,85,1754.1,Books,2023-12-23,0,Part-Time Employed,85
21,64,Female,Los Angeles,Bronze,53,4391.25,Sports,2023-07-25,1,Retired,53
22,42,Female,New York,Bronze,76,673.56,Books,2023-03-13,1,Part-Time Employed,76
23,35,Female,Philadelphia,Gold,54,1266.01,Books,2023-04-28,1,Part-Time Employed,54
24,55,Female,San Antonio,Silver,94,4517.87,Home Goods,2023-03-31,0,Full-Time Employed,94
