CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Churn
1,62,Female,San Antonio,Silver,96,3821.73,Home Goods,2023/11/19,0
2,65,Male,San Diego,Gold,86,2515.32,Clothing,2023/5/15,0
3,18,Male,Los Angeles,Silver,53,1103.9,Home Goods,2023/5/8,0
4,21,Female,Los Angeles,Gold,8,4069.02,Books,2023/6/27,0
5,21,Female,Phoenix,Bronze,37,2882.32,Books,2023/9/5,1
6,57,Male,San Antonio,Platinum,81,783.58,Sports,2023/7/20,0
7,27,Male,San Jose,Silver,71,4043.98,Electronics,2023/8/13,1
8,37,Female,San Diego,Gold,21,4797.07,Electronics,2023/8/13,0
9,39,others,Dallas,Bronze,39,1796.2,Books,2023/4/27,0
10,68,Female,New York,Bronze,5,1538.21,Home Goods,2023/11/26,1
11,54,others,Phoenix,Gold,17,500.7,Clothing,2023/5/23,1
12,41,Female,Chicago,Platinum,99,3356.01,Electronics,2023/3/21,0
13,24,Female,San Jose,Gold,57,4798.91,Electronics,2023/1/23,0
14,42,Female,Houston,Gold,15,766.36,Home Goods,2023/9/12,1
15,42,others,Phoenix,Gold,16,2477.28,Books,2023/12/4,0
16,30,Male,Los Angeles,Platinum,89,581.37,Sports,2023/8/6,0
17,19,Male,Philadelphia,Silver,15,267.14,Home Goods,2023/9/4,1
18,56,others,San Diego,Gold,11,3356.06,Books,2023/12/27,0
19,57,Male,New York,Bronze,5,4351.67,Clothing,2023/10/6,0
20,41,Female,Los Angeles,Silver,85,1754.1,Books,2023/12/23,0
21,64,Female,Los Angeles,Bronze,53,4391.25,Sports,2023/7/25,1
22,42,others,New York,Bronze,76,673.56,Books,2023/3/13,1
23,35,Female,Philadelphia,Gold,54,1266.01,Books,2023/4/28,1
24,55,Female,San Antonio,Silver,94,4517.87,Home Goods,2023/3/31,0
25,43,Female,Philadelphia,Gold,68,2591.7,Sports,2023/3/7,0
26,31,others,San Jose,Bronze,45,3080.14,Sports,2023/3/4,1
27,26,Female,Phoenix,Gold,91,286.29,Electronics,2023/7/30,0
28,27,Male,New York,Platinum,92,729.11,Electronics,2023/7/29,0
29,38,Male,Los Angeles,Platinum,3,373.37,Clothing,2023/7/17,0
30,69,Female,San Antonio,Gold,61,4534.5,Clothing,2023/10/7,0
31,34,others,New York,Gold,67,760.5,Sports,2023/8/22,0
32,69,Female,Los Angeles,Gold,24,4263.4,Books,2023/12/19,0
33,23,Male,New York,Gold,29,1820.07,Electronics,2023/9/16,0
34,33,Male,Houston,Gold,54,4022.93,Clothing,2023/8/8,0
35,65,Female,Philadelphia,Platinum,19,1888.71,Sports,2023/4/24,0
36,18,Female,Los Angeles,Silver,60,1411.65,Books,2023/12/30,0
37,36,Female,Houston,Gold,66,558.94,Home Goods,2023/6/12,0
38,53,Female,New York,Silver,69,1475.46,Books,2023/8/9,1
39,42,Female,Phoenix,Gold,37,2410.25,Electronics,2023/10/15,0
40,67,Male,San Diego,Silver,82,4105.79,Books,2023/9/10,0
41,69,Female,Dallas,Platinum,25,2317.32,Electronics,2023/9/12,0
42,47,Female,Houston,Bronze,90,4860.03,Home Goods,2023/12/13,1
43,37,Female,Los Angeles,Silver,77,2754,Books,2023/2/25,0
44,37,Male,San Antonio,Platinum,35,222.23,Home Goods,2023/8/19,0
45,32,Male,Chicago,Silver,86,2135.3,Electronics,2023/11/12,0
46,57,Female,San Jose,Platinum,57,3475.61,Electronics,2023/2/19,0
47,50,Female,Los Angeles,Bronze,64,1248.03,Electronics,2023/5/22,0
48,19,Female,New York,Platinum,74,3523.29,Sports,2023/12/12,1
49,27,Female,Dallas,Gold,37,2568.12,Electronics,2023/11/25,1
50,50,Female,New York,Gold,42,226.12,Clothing,2023/3/21,0
51,49,Female,Dallas,Silver,7,3894.33,Books,2023/6/25,0
52,28,Female,Houston,Gold,18,2845.83,Sports,2023/8/22,0
53,41,Male,San Diego,Gold,32,504.22,Home Goods,2023/8/26,0
54,53,Female,New York,Bronze,7,2428.55,Home Goods,2023/6/24,0
55,29,Male,Phoenix,Gold,51,1507.74,Clothing,2023/10/31,0
56,68,Male,San Jose,Gold,17,4410.44,Books,2023/2/20,1
57,46,Female,San Diego,Silver,31,1496.14,Clothing,2023/1/25,0
58,52,Female,Philadelphia,Gold,29,4714.27,Books,2023/9/3,0
59,18,Female,Dallas,Gold,76,2776.05,Home Goods,2023/3/31,0
60,18,Female,Dallas,Platinum,33,1685.71,Clothing,2023/12/3,1
61,54,Male,Chicago,Platinum,90,4086.37,Home Goods,2023/3/11,1
62,23,Female,Los Angeles,Silver,39,3517.26,Books,2023/2/27,1
63,56,Female,Los Angeles,Silver,30,2128.42,Clothing,2023/5/23,0
64,58,Female,Philadelphia,Silver,3,3185.13,Clothing,2023/7/14,0
65,35,Female,San Antonio,Gold,84,3915.06,Sports,2023/2/8,0
66,33,Male,San Jose,Gold,77,4272.63,Sports,2023/1/10,0
67,22,Female,Philadelphia,Gold,19,4100.42,Books,2023/12/10,0
68,59,Female,Dallas,Gold,65,913.78,Books,2023/4/15,1
69,60,Male,Dallas,Gold,42,4159.11,Clothing,2023/1/25,1
70,49,Female,Phoenix,Gold,23,387.28,Sports,2023/9/4,1
71,19,Female,San Jose,Platinum,18,1080.84,Books,2023/2/10,0
72,19,Female,Chicago,Silver,43,3152.34,Clothing,2023/10/8,0
73,57,Male,New York,Silver,5,661.99,Books,2023/5/13,0
74,59,Female,Dallas,Gold,5,3056.4,Electronics,2023/2/15,1
75,53,Male,San Jose,Bronze,19,1609.03,Sports,2023/12/6,0
76,56,Female,San Jose,Platinum,70,2204.39,Books,2023/11/19,0
77,29,Female,San Diego,Silver,15,1644.24,Home Goods,2023/9/10,0
78,64,Male,San Antonio,Platinum,11,443.85,Clothing,2023/10/4,0
79,36,Female,Houston,Gold,51,2553.72,Clothing,2023/5/29,0
80,45,Male,San Antonio,Platinum,94,4821.64,Sports,2023/3/2,0
81,18,Female,Philadelphia,Silver,84,3097.74,Sports,2023/5/2,1
82,32,Female,San Antonio,Platinum,35,1570.16,Clothing,2023/5/3,0
83,53,Female,New York,Platinum,4,4785.13,Books,2023/2/3,1
84,30,Female,San Antonio,Bronze,9,2007.26,Sports,2023/1/19,0
85,60,Male,San Diego,Platinum,91,3517.84,Sports,2023/6/26,0
86,38,Female,Phoenix,Silver,83,3207.15,Clothing,2023/2/18,0
87,29,Female,Chicago,Silver,69,4769.26,Clothing,2023/7/31,0
88,22,Female,San Diego,Silver,8,4581.55,Books,2023/3/14,0
89,24,Female,San Jose,Silver,94,825.22,Clothing,2023/7/24,0
90,22,Female,Los Angeles,Gold,36,519.86,Electronics,2023/3/13,0
91,65,Male,San Diego,Bronze,80,4067.25,Books,2024/1/4,0
92,21,Female,Phoenix,Gold,47,4534.22,Home Goods,2023/6/29,0
93,30,Female,Dallas,Silver,46,2515.57,Books,2023/12/31,0
94,54,Female,Dallas,Platinum,68,3484.73,Electronics,2023/8/16,0
95,58,Female,New York,Silver,59,441.96,Home Goods,2023/8/21,0
96,32,Female,Philadelphia,Silver,4,1177.04,Books,2023/10/30,1
97,33,Female,San Antonio,Bronze,71,831.94,Clothing,2023/12/6,0
98,38,Male,Chicago,Bronze,67,3045.69,Home Goods,2023/8/7,0
99,53,Female,Philadelphia,Platinum,25,1067.95,Sports,2023/2/2,0
100,41,Male,Dallas,Gold,56,393.25,Clothing,2023/8/20,1
101,33,Male,Houston,Silver,60,1580.82,Books,2023/11/19,0
102,31,Female,San Antonio,Bronze,36,3418.34,Clothing,2023/7/13,0
103,39,Female,Chicago,Platinum,4,2931.53,Clothing,2023/2/13,0
104,66,Female,New York,Silver,72,1720.55,Clothing,2023/12/15,0
105,67,Female,Phoenix,Gold,28,4184.05,Sports,2023/5/15,0
106,23,Male,Houston,Gold,67,1453.72,Clothing,2023/3/28,0
107,59,Female,San Antonio,Bronze,72,1376.68,Sports,2023/3/17,0
108,53,Female,San Antonio,Gold,11,2843.74,Books,2023/7/25,1
109,18,Female,Philadelphia,Platinum,64,2443.26,Electronics,2023/4/17,1
110,49,Female,Chicago,Bronze,6,2285.27,Sports,2023/12/22,0
111,23,Female,San Diego,Silver,41,863.35,Clothing,2023/11/29,0
112,48,Female,San Diego,Bronze,87,2572.77,Sports,2023/3/24,0
113,18,Male,Chicago,Platinum,53,1369.19,Home Goods,2023/10/25,1
114,67,Female,San Diego,Platinum,44,2021.68,Books,2023/2/12,0
115,68,Female,Houston,Gold,66,3694.5,Clothing,2023/10/10,0
116,54,Male,Phoenix,Silver,7,4690.63,Home Goods,2023/2/25,0
117,52,Female,San Diego,Platinum,29,3891.93,Home Goods,2023/10/30,0
118,66,Female,Dallas,Gold,6,2087.61,Sports,2023/1/7,1
119,47,Female,San Jose,Silver,75,3005.86,Home Goods,2023/1/10,0
120,21,Female,Los Angeles,Silver,8,3757.84,Clothing,2023/3/2,0
121,52,Female,Chicago,Platinum,30,2129.68,Home Goods,2023/3/19,0
122,60,Female,San Jose,Silver,83,1865.22,Home Goods,2023/6/10,0
123,31,Female,San Antonio,Silver,48,762.69,Sports,2023/7/28,1
124,66,Female,San Diego,Gold,61,3707.68,Clothing,2023/6/8,0
125,57,Female,San Jose,Bronze,64,4208.69,Electronics,2023/3/24,0
126,39,Male,Philadelphia,Silver,67,1651.26,Books,2023/10/11,1
127,27,Female,Houston,Gold,42,3939.19,Electronics,2024/1/2,0
128,18,Female,San Antonio,Gold,30,3090.04,Electronics,2024/1/5,0
129,28,Female,Philadelphia,Gold,97,3942.01,Clothing,2023/3/23,0
130,68,Female,Phoenix,Platinum,50,2115.55,Clothing,2023/5/18,0
131,61,Female,Los Angeles,Platinum,61,3763.12,Home Goods,2023/4/17,1
132,41,Female,Philadelphia,Bronze,53,2101.69,Books,2023/6/22,0
133,20,Female,San Jose,Platinum,26,534.91,Sports,2023/8/15,0
134,52,Male,San Diego,Gold,37,2797.84,Clothing,2023/9/18,0
135,53,Male,Dallas,Gold,20,2326.21,Clothing,2023/5/16,0
136,48,Male,Los Angeles,Bronze,97,1339.11,Home Goods,2023/10/22,1
137,21,Male,Philadelphia,Gold,92,4471.36,Books,2023/4/30,0
138,36,Female,Chicago,Platinum,27,1975.98,Sports,2023/3/22,0
139,64,Female,Houston,Gold,57,291.72,Books,2023/12/4,0
140,53,Female,Chicago,Bronze,57,1972.47,Books,2023/2/21,1
141,38,Female,San Jose,Bronze,29,2180.1,Home Goods,2023/3/9,0
142,35,Female,San Antonio,Bronze,46,4322.02,Electronics,2023/7/5,0
143,68,Female,Dallas,Silver,88,4016,Clothing,2023/2/17,1
144,45,Female,San Antonio,Platinum,83,1079.84,Electronics,2023/2/27,0
145,32,Female,Houston,Bronze,6,4211.24,Electronics,2023/12/5,0
146,59,Male,Phoenix,Silver,66,1314.84,Electronics,2023/10/17,0
147,19,Female,Los Angeles,Platinum,86,1775.48,Home Goods,2023/6/21,0
148,54,Female,Philadelphia,Silver,35,476.41,Sports,2023/12/26,1
149,28,Female,Phoenix,Platinum,2,371.25,Books,2023/4/2,1
150,40,Female,San Antonio,Platinum,94,3436.21,Electronics,2023/7/7,0
151,61,Male,Houston,Platinum,99,4624.37,Sports,2023/8/16,0
152,58,Male,Chicago,Bronze,15,2515.78,Home Goods,2023/7/26,1
153,29,Female,San Antonio,Platinum,31,4236.06,Sports,2023/7/9,0
154,20,Female,San Jose,Silver,10,3989.38,Home Goods,2023/10/30,0
155,69,Female,San Antonio,Gold,55,3356.93,Books,2023/9/21,0
156,34,Male,Houston,Gold,28,4893.32,Clothing,2023/3/7,0
157,50,Male,Dallas,Platinum,8,4030.72,Clothing,2023/5/20,0
158,18,Female,Houston,Bronze,77,1446.74,Books,2023/1/8,0
159,56,Male,Philadelphia,Platinum,94,3966.17,Home Goods,2023/11/8,1
160,37,Female,San Antonio,Silver,37,3494.04,Clothing,2023/7/16,1
161,64,Male,Phoenix,Gold,39,2057.65,Electronics,2023/11/21,0
162,60,Female,Houston,Silver,93,476.31,Home Goods,2023/5/4,0
163,69,Male,Phoenix,Silver,86,1150.36,Clothing,2023/5/21,0
164,58,Female,Dallas,Gold,88,4006.47,Clothing,2023/1/17,0
165,31,Female,New York,Bronze,38,1317.58,Electronics,2023/8/10,1
166,48,Female,Houston,Silver,21,4989.5,Books,2023/9/29,0
167,42,Male,Los Angeles,Gold,14,3500.54,Clothing,2023/7/19,0
168,20,Female,Phoenix,Bronze,41,2438.39,Electronics,2023/3/1,0
169,21,Male,San Jose,Silver,51,2895.14,Sports,2023/1/18,0
170,48,Female,Dallas,Silver,55,3093.28,Books,2023/9/30,0
171,52,Female,New York,Silver,66,4847.83,Home Goods,2023/3/7,0
172,61,Female,Dallas,Silver,73,892.53,Books,2023/7/12,1
173,31,Female,Houston,Platinum,59,1434.74,Clothing,2023/1/29,0
174,66,Male,Dallas,Bronze,74,3577,Clothing,2023/8/30,1
175,58,Female,New York,Silver,50,1275.3,Electronics,2023/12/14,0
176,26,Female,San Jose,Gold,18,4369.36,Clothing,2023/11/3,0
177,37,Female,Chicago,Platinum,50,1798.02,Books,2023/2/2,0
178,49,Female,Houston,Gold,90,986.11,Electronics,2023/3/18,1
179,26,Female,Chicago,Gold,88,333.34,Sports,2023/9/3,0
180,44,Female,Houston,Bronze,58,3018.42,Sports,2023/11/21,0
181,20,Male,Chicago,Gold,75,4143.88,Sports,2023/11/19,0
182,21,Female,Chicago,Platinum,91,1441.59,Electronics,2023/12/28,0
183,62,Male,New York,Silver,14,4595.94,Books,2023/11/25,0
184,32,Female,Los Angeles,Silver,32,3812.9,Electronics,2023/5/3,0
185,50,Female,New York,Gold,22,400.37,Home Goods,2023/10/12,1
186,22,Male,Phoenix,Bronze,98,2905.9,Electronics,2023/9/26,0
187,21,Female,Houston,Bronze,2,2880.46,Clothing,2023/10/1,0
188,63,Male,Chicago,Silver,97,1091.62,Sports,2023/12/19,1
189,29,Male,San Antonio,Silver,44,1739.27,Electronics,2023/12/10,0
190,40,Female,Phoenix,Gold,56,2345.57,Home Goods,2023/4/19,0
191,31,Female,Los Angeles,Bronze,71,335.58,Clothing,2023/6/23,1
192,63,Female,Chicago,Gold,35,833.9,Books,2023/2/27,1
193,29,Male,Chicago,Silver,95,903.62,Electronics,2023/10/24,0
194,34,Male,Houston,Silver,47,1958.26,Sports,2023/6/6,0
195,42,Female,Philadelphia,Gold,91,3762.05,Clothing,2023/3/12,0
196,47,Male,Philadelphia,Bronze,18,4173.39,Electronics,2023/2/20,0
197,39,Female,Los Angeles,Silver,13,897.96,Clothing,2023/8/5,0
198,64,Female,Houston,Silver,53,3784.34,Clothing,2023/9/13,0
199,43,Male,Philadelphia,Bronze,48,3386.48,Clothing,2023/6/22,0
200,34,Female,Dallas,Silver,40,4464.37,Home Goods,2023/2/21,0
201,37,Female,Los Angeles,Bronze,49,4847.08,Electronics,2023/6/21,0
202,51,Male,San Diego,Bronze,56,709.86,Clothing,2023/7/6,0
203,58,Female,Houston,Silver,26,495.3,Electronics,2023/8/17,0
204,50,Male,Chicago,Gold,65,4018.68,Clothing,2023/4/12,1
205,54,Female,Dallas,Silver,61,894.64,Sports,2023/8/28,1
206,24,Female,Los Angeles,Silver,31,1053.42,Electronics,2023/10/13,0
207,39,Female,San Jose,Silver,93,4421.98,Electronics,2023/11/4,0
208,49,Male,Dallas,Platinum,88,4700.93,Sports,2023/5/4,0
209,31,Male,New York,Silver,80,1660.51,Electronics,2023/4/24,0
210,25,Female,Los Angeles,Gold,39,4226.62,Clothing,2023/12/17,0
211,42,Female,San Diego,Gold,87,4308.4,Home Goods,2023/7/26,0
212,33,Male,Philadelphia,Gold,49,3066.41,Electronics,2023/1/28,1
213,59,Female,Chicago,Bronze,8,2873.83,Sports,2023/12/17,0
214,36,Female,San Diego,Platinum,38,2921.61,Home Goods,2023/5/1,1
215,58,Female,San Diego,Platinum,67,1576.32,Electronics,2023/9/4,0
216,33,Female,Houston,Gold,78,3132.45,Clothing,2023/12/6,0
217,29,Male,San Antonio,Platinum,21,1293.54,Books,2023/5/13,0
218,56,Male,Dallas,Bronze,47,970.4,Books,2023/6/15,1
219,65,Female,Los Angeles,Silver,94,2123.46,Home Goods,2023/5/7,0
220,47,Female,Phoenix,Gold,33,3558.32,Sports,2023/6/28,1
221,19,Male,New York,Platinum,53,3145,Electronics,2023/12/11,0
222,49,Male,Chicago,Gold,56,4827.92,Books,2023/3/6,0
223,62,Female,Chicago,Gold,20,3267.63,Books,2023/12/19,0
224,42,Female,Dallas,Gold,57,792.44,Electronics,2023/2/3,0
225,42,Female,Dallas,Gold,23,889.97,Electronics,2023/4/9,0
226,21,Female,Phoenix,Silver,87,556.03,Sports,2023/3/30,1
227,36,Male,Dallas,Gold,61,1036.75,Electronics,2023/10/18,0
228,65,Male,Houston,Platinum,35,3029.96,Books,2023/2/26,0
229,21,Female,San Diego,Platinum,62,4207.6,Electronics,2023/3/28,1
230,60,Male,San Antonio,Bronze,55,4479.95,Clothing,2023/4/14,1
231,30,Female,Dallas,Bronze,39,2060.22,Books,2023/4/16,0
232,56,Female,San Jose,Platinum,86,2837.06,Home Goods,2023/5/9,0
233,53,Female,San Antonio,Gold,93,4065.08,Sports,2023/6/3,0
234,40,Female,Philadelphia,Platinum,49,1629.15,Books,2023/8/10,1
235,23,Female,Philadelphia,Bronze,35,3018.78,Electronics,2023/5/14,0
236,41,Female,Chicago,Gold,62,953,Sports,2023/6/12,0
237,61,Male,New York,Platinum,66,2435.05,Sports,2023/5/28,0
238,50,Male,Houston,Silver,55,948.05,Home Goods,2023/7/10,1
239,29,Female,Chicago,Platinum,18,2365.89,Clothing,2023/1/25,0
240,58,Female,San Antonio,Bronze,53,2044.42,Clothing,2023/11/10,0
241,38,Female,Los Angeles,Platinum,35,2223,Electronics,2023/4/26,0
242,28,Female,San Antonio,Gold,44,1294.19,Clothing,2023/8/21,0
